============================= test session starts ==============================
platform linux -- Python 3.12.2, pytest-9.0.3, pluggy-1.6.0 -- /arf/home/scolakoglu/NLP_Project/.venv-audit/bin/python
cachedir: .pytest_cache
rootdir: /arf/home/scolakoglu/NLP_Project
configfile: pyproject.toml
plugins: cov-7.1.0, hydra-core-1.3.2, anyio-4.13.0
tests/core/test_code_switch.py::TestAnalyzerCodeSwitchIntegration::test_disabled_by_default PASSED [ 31%]
tests/core/test_code_switch.py::TestAnalyzerCodeSwitchIntegration::test_enabled_detects_foreign PASSED [ 31%]
tests/core/test_code_switch.py::TestAnalyzerCodeSwitchIntegration::test_cache_isolation PASSED [ 31%]
tests/core/test_code_switch.py::TestAnalyzerCodeSwitchIntegration::test_score_is_0_9 PASSED [ 31%]
tests/core/test_code_switch.py::TestAnalyzerCodeSwitchIntegration::test_non_code_switch_falls_through PASSED [ 31%]
tests/core/test_code_switch.py::TestAnalyzerCodeSwitchIntegration::test_abbreviation_not_captured PASSED [ 31%]
tests/core/test_compound_lexicon.py::TestDecomposeFusedLvc::test_known_gemination_form PASSED [ 31%]
tests/core/test_compound_lexicon.py::TestDecomposeFusedLvc::test_known_progressive_form PASSED [ 31%]
tests/core/test_compound_lexicon.py::TestDecomposeFusedLvc::test_known_ol_form PASSED [ 31%]
tests/core/test_compound_lexicon.py::TestDecomposeFusedLvc::test_known_elision_form PASSED [ 31%]
tests/core/test_compound_lexicon.py::TestDecomposeFusedLvc::test_non_fused_returns_none PASSED [ 32%]
tests/core/test_compound_lexicon.py::TestDecomposeFusedLvc::test_empty_input PASSED [ 32%]
tests/core/test_compound_lexicon.py::TestDecomposeFusedLvc::test_longest_prefix_match_wins PASSED [ 32%]
tests/core/test_compound_lexicon.py::TestDecomposeFusedLvc::test_case_insensitive PASSED [ 32%]
tests/core/test_compound_lexicon.py::TestDecomposeFusedLvc::test_is_fused_lvc PASSED [ 32%]
tests/core/test_compound_lexicon.py::TestMorphophonologicalFilter::test_gemination_accepted PASSED [ 32%]
tests/core/test_compound_lexicon.py::TestMorphophonologicalFilter::test_elision_accepted PASSED [ 32%]
tests/core/test_compound_lexicon.py::TestMorphophonologicalFilter::test_voicing_accepted PASSED [ 32%]
tests/core/test_compound_lexicon.py::TestMorphophonologicalFilter::test_plain_concatenation_rejected PASSED [ 32%]
tests/core/test_compound_lexicon.py::TestMorphophonologicalFilter::test_unrelated_rejected PASSED [ 33%]
tests/core/test_compound_lexicon.py::TestRestoreCandidates::test_degemination_candidate PASSED [ 33%]
tests/core/test_compound_lexicon.py::TestRestoreCandidates::test_devoicing_candidate PASSED [ 33%]
tests/core/test_compound_lexicon.py::TestMineCorpus::test_mining_smoke_skips_normal_verbs PASSED [ 33%]
tests/core/test_compound_lexicon.py::TestMineCorpus::test_mining_handles_zeyrek_exceptions PASSED [ 33%]
tests/core/test_compound_lexicon.py::test_table_entries_are_well_formed PASSED [ 33%]
tests/core/test_compound_lexicon.py::test_analyzer_decompose_lvc_flag PASSED [ 33%]
tests/core/test_constants.py::TestZeyrekToCanonical::test_all_canonical_tags_follow_format PASSED [ 33%]
tests/core/test_constants.py::TestZeyrekToCanonical::test_no_none_values PASSED [ 33%]
tests/core/test_constants.py::TestZeyrekToCanonical::test_case_suffixes_present PASSED [ 34%]
tests/core/test_constants.py::TestZeyrekToCanonical::test_possession_paradigm_complete PASSED [ 34%]
tests/core/test_constants.py::TestZeyrekToCanonical::test_tense_tags_present PASSED [ 34%]
tests/core/test_constants.py::TestZeyrekToCanonical::test_known_mappings PASSED [ 34%]
tests/core/test_constants.py::TestZeyrekToCanonical::test_unmarked_features_are_empty PASSED [ 34%]
tests/core/test_constants.py::TestZeyrekToCanonical::test_has_sufficient_mappings PASSED [ 34%]
tests/core/test_constants.py::TestTRMorphToCanonical::test_all_canonical_tags_follow_format PASSED [ 34%]
tests/core/test_constants.py::TestTRMorphToCanonical::test_canonical_alignment PASSED [ 34%]
tests/core/test_constants.py::TestUnmarkedFeatures::test_unmarked_set_populated PASSED [ 34%]
tests/core/test_datatypes.py::TestMorpheme::test_creation PASSED         [ 34%]
tests/core/test_datatypes.py::TestMorpheme::test_frozen PASSED           [ 35%]
tests/core/test_datatypes.py::TestMorpheme::test_equality PASSED         [ 35%]
tests/core/test_datatypes.py::TestMorpheme::test_hashable PASSED         [ 35%]
tests/core/test_datatypes.py::TestMorphologicalAnalysis::test_creation PASSED [ 35%]
tests/core/test_datatypes.py::TestMorphologicalAnalysis::test_frozen PASSED [ 35%]
tests/core/test_datatypes.py::TestMorphologicalAnalysis::test_lemma PASSED [ 35%]
tests/core/test_datatypes.py::TestMorphologicalAnalysis::test_to_str PASSED [ 35%]
tests/core/test_datatypes.py::TestMorphologicalAnalysis::test_to_str_root_only PASSED [ 35%]
tests/core/test_datatypes.py::TestMorphologicalAnalysis::test_tag_order_preserved PASSED [ 35%]
tests/core/test_datatypes.py::TestMorphologicalAnalysis::test_to_conllu PASSED [ 36%]
tests/core/test_datatypes.py::TestMorphologicalAnalysis::test_parse_identity PASSED [ 36%]
tests/core/test_datatypes.py::TestMorphologicalAnalysis::test_different_parses_different_identity PASSED [ 36%]
tests/core/test_datatypes.py::TestTokenAnalyses::test_ambiguous PASSED   [ 36%]
tests/core/test_datatypes.py::TestTokenAnalyses::test_unambiguous PASSED [ 36%]
tests/core/test_datatypes.py::TestTokenAnalyses::test_empty PASSED       [ 36%]
tests/core/test_datatypes.py::TestTokenAnalyses::test_best PASSED        [ 36%]
tests/core/test_output_formats.py::TestOutputFormatterInit::test_valid_modes PASSED [ 36%]
tests/core/test_output_formats.py::TestOutputFormatterInit::test_invalid_mode_raises PASSED [ 36%]
tests/core/test_output_formats.py::TestTextMode::test_contains_surface_and_tags PASSED [ 36%]
tests/core/test_output_formats.py::TestTextMode::test_empty_analyses PASSED [ 37%]
tests/core/test_output_formats.py::TestJsonMode::test_valid_json PASSED  [ 37%]
tests/core/test_output_formats.py::TestJsonMode::test_root_and_tags PASSED [ 37%]
tests/core/test_output_formats.py::TestJsonMode::test_turkish_chars_preserved PASSED [ 37%]
tests/core/test_output_formats.py::TestJsonMode::test_empty_analyses PASSED [ 37%]
tests/core/test_output_formats.py::TestMinimalMode::test_no_ansi_codes PASSED [ 37%]
tests/core/test_output_formats.py::TestMinimalMode::test_tab_separated PASSED [ 37%]
tests/core/test_output_formats.py::TestMinimalMode::test_empty_analyses PASSED [ 37%]
tests/core/test_output_formats.py::TestBatchFormatting::test_json_batch_valid PASSED [ 37%]
tests/core/test_output_formats.py::TestBatchFormatting::test_text_batch_newline_separated PASSED [ 38%]
tests/core/test_output_formats.py::TestBatchFormatting::test_empty_batch PASSED [ 38%]
tests/core/test_output_formats.py::TestBatchFormatting::test_minimal_batch PASSED [ 38%]
tests/core/test_phonology.py::TestLastVowel::test_simple PASSED          [ 38%]
tests/core/test_phonology.py::TestLastVowel::test_no_vowels PASSED       [ 38%]
tests/core/test_phonology.py::TestLastVowel::test_turkish_vowels PASSED  [ 38%]
tests/core/test_phonology.py::TestVowelHarmony::test_front PASSED        [ 38%]
tests/core/test_phonology.py::TestVowelHarmony::test_back PASSED         [ 38%]
tests/core/test_phonology.py::TestVowelHarmony::test_rounded PASSED      [ 38%]
tests/core/test_special_tokens.py::TestAbbreviations::test_acronym_word_pronunciation PASSED [ 39%]
tests/core/test_special_tokens.py::TestAbbreviations::test_letter_pronunciation_for_initialism PASSED [ 39%]
tests/core/test_special_tokens.py::TestAbbreviations::test_unknown_letter_returns_none_or_vowel PASSED [ 39%]
tests/core/test_special_tokens.py::TestAbbreviations::test_split_apostrophe PASSED [ 39%]
tests/core/test_special_tokens.py::TestAbbreviations::test_split_period_ending PASSED [ 39%]
tests/core/test_special_tokens.py::TestAbbreviations::test_split_missing_apostrophe PASSED [ 39%]
tests/core/test_special_tokens.py::TestAbbreviations::test_dispatch_natonu PASSED [ 39%]
tests/core/test_special_tokens.py::TestAbbreviations::test_dispatch_tdkye PASSED [ 39%]
tests/core/test_special_tokens.py::TestNumerics::test_1990_doksan_back_vowel PASSED [ 39%]
tests/core/test_special_tokens.py::TestNumerics::test_3_uc_front_rounded PASSED [ 39%]
tests/core/test_special_tokens.py::TestNumerics::test_split_1990larda PASSED [ 40%]
tests/core/test_special_tokens.py::TestNumerics::test_split_3un PASSED   [ 40%]
tests/core/test_special_tokens.py::TestNumerics::test_dispatch_1990larda PASSED [ 40%]
tests/core/test_special_tokens.py::TestNumerics::test_dispatch_bare_2024 PASSED [ 40%]
tests/core/test_special_tokens.py::TestReduplication::test_lexicon_masmavi PASSED [ 40%]
tests/core/test_special_tokens.py::TestReduplication::test_lexicon_tertemiz PASSED [ 40%]
tests/core/test_special_tokens.py::TestReduplication::test_non_redup_returns_none PASSED [ 40%]
tests/core/test_special_tokens.py::TestReduplication::test_dispatch_masmavi PASSED [ 40%]
tests/core/test_special_tokens.py::TestDispatcherFallthrough::test_normal_word_returns_none PASSED [ 40%]
tests/core/test_special_tokens.py::TestDispatcherFallthrough::test_empty_returns_none PASSED [ 41%]
tests/core/test_special_tokens.py::test_analyzer_handle_special_tokens_flag PASSED [ 41%]
tests/data/test_acquisition.py::TestMAD::test_single_parse_returns_zero PASSED [ 41%]
tests/data/test_acquisition.py::TestMAD::test_zero_parses_returns_zero PASSED [ 41%]
tests/data/test_acquisition.py::TestMAD::test_multiple_parses_positive PASSED [ 41%]
tests/data/test_acquisition.py::TestMAD::test_max_parses_returns_one PASSED [ 41%]
tests/data/test_acquisition.py::TestMAD::test_more_parses_higher_score PASSED [ 41%]
tests/data/test_acquisition.py::TestBALD::test_returns_zero_without_model PASSED [ 41%]
tests/data/test_acquisition.py::TestCONF::test_returns_zero_when_disabled PASSED [ 41%]
tests/data/test_acquisition.py::TestCONF::test_returns_zero_when_single_backend PASSED [ 41%]
tests/data/test_acquisition.py::TestCONF::test_agreement_returns_zero PASSED [ 42%]
tests/data/test_acquisition.py::TestCONF::test_disagreement_returns_one PASSED [ 42%]
tests/data/test_acquisition.py::TestSentenceScoring::test_empty_sentence_zero PASSED [ 42%]
tests/data/test_acquisition.py::TestSentenceScoring::test_unambiguous_sentence_low PASSED [ 42%]
tests/data/test_acquisition.py::TestSentenceScoring::test_ambiguous_sentence_higher PASSED [ 42%]
tests/data/test_acquisition.py::TestSentenceScoring::test_mad_only_mode PASSED [ 42%]
tests/data/test_acquisition.py::TestBatchSelection::test_selects_correct_count PASSED [ 42%]
tests/data/test_acquisition.py::TestBatchSelection::test_excludes_annotated PASSED [ 42%]
tests/data/test_acquisition.py::TestBatchSelection::test_highest_scored_first PASSED [ 42%]
tests/data/test_acquisition.py::TestWeightedLabelModel::test_confidence_in_range PASSED [ 43%]
tests/data/test_char_augmentation.py::test_keyboard_identity_when_prob_zero PASSED [ 43%]
tests/data/test_char_augmentation.py::test_keyboard_only_substitutes_adjacent_keys PASSED [ 43%]
tests/data/test_char_augmentation.py::test_keyboard_handles_turkish_chars PASSED [ 43%]
tests/data/test_char_augmentation.py::test_diacritic_strip_mode PASSED   [ 43%]
tests/data/test_char_augmentation.py::test_diacritic_identity_when_prob_zero PASSED [ 43%]
tests/data/test_char_augmentation.py::test_diacritic_harmony_safe_swap PASSED [ 43%]
tests/data/test_char_augmentation.py::test_stemcorrupt_tags_unchanged PASSED [ 43%]
tests/data/test_char_augmentation.py::test_stemcorrupt_noop_when_prob_zero PASSED [ 43%]
tests/data/test_char_augmentation.py::test_composite_chains_augmenters PASSED [ 43%]
tests/data/test_char_augmentation.py::test_composite_probability_zero_skips PASSED [ 44%]
tests/data/test_char_augmentation.py::test_empty_and_single_char PASSED  [ 44%]
tests/data/test_char_augmentation.py::test_turkish_qwerty_coords_shape PASSED [ 44%]
tests/data/test_corpus_builder.py::TestCorpusBuilder::test_builds_three_tiers PASSED [ 44%]
tests/data/test_corpus_builder.py::TestCorpusBuilder::test_gold_excluded_from_silver PASSED [ 44%]
tests/data/test_corpus_builder_v2.py::TestExtractPos::test_noun PASSED   [ 44%]
tests/data/test_corpus_builder_v2.py::TestExtractPos::test_verb PASSED   [ 44%]
tests/data/test_corpus_builder_v2.py::TestExtractPos::test_no_tag_returns_default PASSED [ 44%]
tests/data/test_corpus_builder_v2.py::TestExtractPos::test_punctuation PASSED [ 44%]
tests/data/test_corpus_builder_v2.py::TestPosThresholds::test_is_dict PASSED [ 45%]
tests/data/test_corpus_builder_v2.py::TestPosThresholds::test_values_are_float_pairs PASSED [ 45%]
tests/data/test_corpus_builder_v2.py::TestPosThresholds::test_has_default PASSED [ 45%]
tests/data/test_corpus_builder_v2.py::TestPosThresholds::test_verb_higher_than_noun PASSED [ 45%]
tests/data/test_corpus_builder_v2.py::TestCorpusBuilderPosThresholds::test_pos_thresholds_reject_low_verb PASSED [ 45%]
tests/data/test_corpus_builder_v2.py::TestCorpusBuilderPosThresholds::test_flat_thresholds_accept_verb PASSED [ 45%]
tests/data/test_corpus_builder_v2.py::TestCorpusBuilderPosThresholds::test_gold_tokens_never_filtered PASSED [ 45%]
tests/data/test_labeling_functions.py::TestLfZeyrekUnambiguous::test_single_parse_returns_index PASSED [ 45%]
tests/data/test_labeling_functions.py::TestLfZeyrekUnambiguous::test_multiple_parses_abstains PASSED [ 45%]
tests/data/test_labeling_functions.py::TestLfZeyrekUnambiguous::test_no_zeyrek_parses_abstains PASSED [ 46%]
tests/data/test_labeling_functions.py::TestLfZeyrekUnambiguous::test_empty_analyses_abstains PASSED [ 46%]
tests/data/test_labeling_functions.py::TestLfTRMorphUnambiguous::test_single_trmorph_returns_index PASSED [ 46%]
tests/data/test_labeling_functions.py::TestLfTRMorphUnambiguous::test_no_trmorph_abstains PASSED [ 46%]
tests/data/test_labeling_functions.py::TestLfSuffixRegex::test_ablative_suffix PASSED [ 46%]
tests/data/test_labeling_functions.py::TestLfSuffixRegex::test_locative_suffix PASSED [ 46%]
tests/data/test_labeling_functions.py::TestLfSuffixRegex::test_evidential_suffix PASSED [ 46%]
tests/data/test_labeling_functions.py::TestLfSuffixRegex::test_ambiguous_suffix_abstains PASSED [ 46%]
tests/data/test_labeling_functions.py::TestLfSuffixRegex::test_no_suffix_match_abstains PASSED [ 46%]
tests/data/test_labeling_functions.py::TestLfPosBigram::test_det_followed_by_noun PASSED [ 46%]
tests/data/test_labeling_functions.py::TestLfPosBigram::test_no_prev_pos_abstains PASSED [ 47%]
tests/data/test_labeling_functions.py::TestLfGazetteer::test_known_propn_votes_noun FAILED [ 47%]
tests/data/test_labeling_functions.py::TestLfGazetteer::test_unknown_word_abstains PASSED [ 47%]
tests/data/test_labeling_functions.py::TestLfNeuralDraft::test_always_abstains PASSED [ 47%]
tests/data/test_labeling_functions.py::TestBuildLabelMatrix::test_matrix_shape PASSED [ 47%]
tests/data/test_labeling_functions.py::TestBuildLabelMatrix::test_all_lfs_registered PASSED [ 47%]
tests/data/test_noise_audit.py::test_adapter_shapes_and_softmax_normalised PASSED [ 47%]
tests/data/test_noise_audit.py::test_adapter_strips_padding_positions PASSED [ 47%]
tests/data/test_noise_audit.py::test_adapter_handles_length_mismatch PASSED [ 47%]
tests/data/test_noise_audit.py::test_run_cleanlab_token_audit_writes_payload PASSED [ 48%]
tests/data/test_noise_audit.py::test_run_cleanlab_token_audit_assertion_on_mismatched_input PASSED [ 48%]
tests/data/test_paradigm_augmentation.py::test_attach_suffix_vowel_harmony_basic PASSED [ 48%]
tests/data/test_paradigm_augmentation.py::test_attach_suffix_buffer_consonants PASSED [ 48%]
tests/data/test_paradigm_augmentation.py::test_attach_suffix_voicing_alternation PASSED [ 48%]
tests/data/test_paradigm_augmentation.py::test_attach_suffix_ben_dan PASSED [ 48%]
tests/data/test_paradigm_augmentation.py::test_attach_suffix_su_da PASSED [ 48%]
tests/data/test_paradigm_augmentation.py::test_mine_voicing_alternations PASSED [ 48%]
tests/data/test_paradigm_augmentation.py::test_augmentation_budget_rarity_rule PASSED [ 48%]
tests/data/test_paradigm_augmentation.py::test_generate_paradigm_nominal PASSED [ 48%]
tests/data/test_paradigm_augmentation.py::test_augment_corpus_writes_synthetic_tier PASSED [ 49%]
tests/data/test_paradigm_augmentation.py::test_augment_corpus_validator_discard PASSED [ 49%]
tests/data/test_pii_scan.py::TestRegexPatterns::test_tc_kimlik_matches_11_digits PASSED [ 49%]
tests/data/test_pii_scan.py::TestRegexPatterns::test_tc_kimlik_no_match_10_digits PASSED [ 49%]
tests/data/test_pii_scan.py::TestRegexPatterns::test_tc_kimlik_no_match_12_digits PASSED [ 49%]
tests/data/test_pii_scan.py::TestRegexPatterns::test_tc_kimlik_word_boundary PASSED [ 49%]
tests/data/test_pii_scan.py::TestRegexPatterns::test_phone_plus90_format PASSED [ 49%]
tests/data/test_pii_scan.py::TestRegexPatterns::test_phone_plus90_compact PASSED [ 49%]
tests/data/test_pii_scan.py::TestRegexPatterns::test_phone_zero_prefix PASSED [ 49%]
tests/data/test_pii_scan.py::TestRegexPatterns::test_phone_no_match_short PASSED [ 50%]
tests/data/test_pii_scan.py::TestRegexPatterns::test_email_standard PASSED [ 50%]
tests/data/test_pii_scan.py::TestRegexPatterns::test_email_with_dots PASSED [ 50%]
tests/data/test_pii_scan.py::TestRegexPatterns::test_email_no_match_incomplete PASSED [ 50%]
tests/data/test_pii_scan.py::TestRegexPatterns::test_iban_turkish_compact PASSED [ 50%]
tests/data/test_pii_scan.py::TestRegexPatterns::test_iban_turkish_with_spaces PASSED [ 50%]
tests/data/test_pii_scan.py::TestRegexPatterns::test_iban_no_match_non_tr PASSED [ 50%]
tests/data/test_pii_scan.py::TestScanFile::test_finds_email_in_file PASSED [ 50%]
tests/data/test_pii_scan.py::TestScanFile::test_finds_multiple_types PASSED [ 50%]
tests/data/test_pii_scan.py::TestScanFile::test_empty_file_returns_empty PASSED [ 51%]
tests/data/test_pii_scan.py::TestScanFile::test_context_contains_match PASSED [ 51%]
tests/data/test_pii_scan.py::TestScanCorpus::test_recursive_scan PASSED  [ 51%]
tests/data/test_pii_scan.py::TestScanCorpus::test_skips_non_matching_extensions PASSED [ 51%]
tests/data/test_pii_scan.py::TestCountProperNouns::test_counts_propn_tags PASSED [ 51%]
tests/data/test_pii_scan.py::TestCountProperNouns::test_empty_corpus PASSED [ 51%]
tests/data/test_pii_scan.py::TestGenerateReport::test_report_contains_summary PASSED [ 51%]
tests/data/test_pii_scan.py::TestGenerateReport::test_report_writes_file PASSED [ 51%]
tests/data/test_pii_scan.py::TestGenerateReport::test_empty_findings_report PASSED [ 51%]
tests/data/test_pii_scan.py::TestFrozenDataclass::test_pii_finding_is_frozen PASSED [ 51%]
tests/data/test_silver_correction.py::test_rule1_poss_on_verb_forces_noun PASSED [ 52%]
tests/data/test_silver_correction.py::test_rule2_adj_gazetteer_next_noun PASSED [ 52%]
tests/data/test_silver_correction.py::test_rule3_flags_only_no_mutation PASSED [ 52%]
tests/data/test_silver_correction.py::test_apply_corrections_skips_gold PASSED [ 52%]
tests/data/test_silver_correction.py::test_gold_sanity_check_high_agreement PASSED [ 52%]
tests/data/test_silver_correction.py::test_build_adj_gazetteer_from_fallback PASSED [ 52%]
tests/data/test_silver_correction.py::test_generate_human_audit_sample PASSED [ 52%]
tests/data/test_split_corpus.py::TestSplitCorpus::test_proportions PASSED [ 52%]
tests/data/test_split_corpus.py::TestSplitCorpus::test_no_sentence_overlap PASSED [ 52%]
tests/models/test_contextual_dual_head.py::TestPOSBigramContext::test_shape PASSED [ 53%]
tests/models/test_contextual_dual_head.py::TestPOSBigramContext::test_padding_zeros PASSED [ 53%]
tests/models/test_contextual_dual_head.py::TestPOSBigramContext::test_output_dim_property PASSED [ 53%]
tests/models/test_contextual_dual_head.py::TestWord2VecContext::test_shape PASSED [ 53%]
tests/models/test_contextual_dual_head.py::TestWord2VecContext::test_pretrained_weights_frozen PASSED [ 53%]
tests/models/test_contextual_dual_head.py::TestWord2VecContext::test_output_dim_property PASSED [ 53%]
tests/models/test_contextual_dual_head.py::TestSentenceBiGRUContext::test_shape PASSED [ 53%]
tests/models/test_contextual_dual_head.py::TestSentenceBiGRUContext::test_different_positions_differ PASSED [ 53%]
tests/models/test_contextual_dual_head.py::TestSentenceBiGRUContext::test_output_dim_property PASSED [ 53%]
tests/models/test_contextual_dual_head.py::TestBERTurkContext::test_shape PASSED [ 53%]
tests/models/test_contextual_dual_head.py::TestBERTurkContext::test_output_dim_property PASSED [ 54%]
tests/models/test_contextual_dual_head.py::TestBERTurkContext::test_bert_not_called_before_forward PASSED [ 54%]
tests/models/test_contextual_dual_head.py::TestContextualDualHeadAtomizerForward::test_shapes_with_word2vec_context PASSED [ 54%]
tests/models/test_contextual_dual_head.py::TestContextualDualHeadAtomizerForward::test_shapes_with_tuple_context PASSED [ 54%]
tests/models/test_contextual_dual_head.py::TestContextAffectsOutput::test_different_context_different_root_logits PASSED [ 54%]
tests/models/test_contextual_dual_head.py::TestContextualLossDecreases::test_loss_decreases PASSED [ 54%]
tests/models/test_contextual_dual_head.py::TestContextualGreedyDecode::test_decode_produces_strings PASSED [ 54%]
tests/models/test_contextual_dual_head.py::TestContextualGreedyDecode::test_decode_without_vocab_inv PASSED [ 54%]
tests/models/test_contrastive_root.py::test_build_prefix_groups_shared_prefix PASSED [ 54%]
tests/models/test_contrastive_root.py::test_contrastive_head_forward_shapes PASSED [ 55%]
tests/models/test_contrastive_root.py::test_contrastive_head_loss_drops_with_training PASSED [ 55%]
tests/models/test_contrastive_root.py::test_contrastive_head_no_gold_returns_distances_only PASSED [ 55%]
tests/models/test_contrastive_root.py::test_polysemous_roots_yaml_loader PASSED [ 55%]
tests/models/test_contrastive_root.py::test_dual_head_default_mlp_state_dict_unchanged PASSED [ 55%]
tests/models/test_contrastive_root.py::test_dual_head_contrastive_mode_creates_extra_params PASSED [ 55%]
tests/models/test_contrastive_root.py::test_dual_head_contrastive_forward_caches_loss PASSED [ 55%]
tests/models/test_contrastive_root.py::test_v2_checkpoint_backward_compat SKIPPED [ 55%]
tests/models/test_contrastive_root.py::test_evaluate_polysemy_basic PASSED [ 55%]
tests/models/test_disambiguator.py::TestCandidateEncoder::test_output_shape PASSED [ 56%]
tests/models/test_disambiguator.py::TestCandidateEncoder::test_output_dim_property PASSED [ 56%]
tests/models/test_disambiguator.py::TestCandidateEncoder::test_padding_idx_zero PASSED [ 56%]
tests/models/test_disambiguator.py::TestBERTurkDisambiguator::test_forward_shape PASSED [ 56%]
tests/models/test_disambiguator.py::TestBERTurkDisambiguator::test_forward_no_loss_without_gold PASSED [ 56%]
tests/models/test_disambiguator.py::TestBERTurkDisambiguator::test_cached_bert_embeds PASSED [ 56%]
tests/models/test_disambiguator.py::TestScoreMasking::test_invalid_candidates_masked PASSED [ 56%]
tests/models/test_disambiguator.py::TestScoreMasking::test_argmax_ignores_masked PASSED [ 56%]
tests/models/test_disambiguator.py::TestSingleCandidate::test_single_candidate_always_selected PASSED [ 56%]
tests/models/test_disambiguator.py::TestTraining::test_loss_decreases PASSED [ 56%]
tests/models/test_disambiguator.py::TestGoldMatching::test_to_str_format_matches_gold PASSED [ 57%]
tests/models/test_disambiguator.py::TestGoldMatching::test_root_only_format PASSED [ 57%]
tests/models/test_disambiguator.py::TestOOVHandling::test_oov_gold_added_as_candidate PASSED [ 57%]
tests/models/test_grammar.py::TestVowelHarmony::test_valid_front PASSED  [ 57%]
tests/models/test_grammar.py::TestVowelHarmony::test_valid_back PASSED   [ 57%]
tests/models/test_grammar.py::TestVowelHarmony::test_two_way_violation PASSED [ 57%]
tests/models/test_grammar.py::TestVowelHarmony::test_four_way_warning PASSED [ 57%]
tests/models/test_grammar.py::TestVowelHarmony::test_single_vowel PASSED [ 57%]
tests/models/test_grammar.py::TestSpellChecker::test_deasciify_guzel PASSED [ 57%]
tests/models/test_grammar.py::TestSpellChecker::test_casing_istanbul PASSED [ 58%]
tests/models/test_grammar.py::TestSpellChecker::test_apostrophe_turkiyede PASSED [ 58%]
tests/models/test_grammar.py::TestSpellChecker::test_correct_applies_high_confidence PASSED [ 58%]
tests/models/test_grammar.py::TestSpellChecker::test_valid_word_no_suggestion PASSED [ 58%]
tests/models/test_grammar.py::TestGrammarChecker::test_genitive_possessive PASSED [ 58%]
tests/models/test_grammar.py::TestGrammarChecker::test_no_false_positive_possessive PASSED [ 58%]
tests/models/test_grammar.py::TestGrammarChecker::test_de_da_voiceless_rule PASSED [ 58%]
tests/models/test_grammar.py::TestGrammarChecker::test_well_formed_sentence PASSED [ 58%]
tests/models/test_grammar.py::TestPunctuationLabels::test_label_count PASSED [ 58%]
tests/models/test_grammar.py::TestPunctuationLabels::test_symbol_mapping PASSED [ 58%]
tests/models/test_grammar.py::TestPunctuationRestorer::test_forward_shape PASSED [ 59%]
tests/models/test_grammar.py::TestPunctuationRestorer::test_forward_with_labels PASSED [ 59%]
tests/models/test_grammar.py::TestPunctuationRestorer::test_loss_decreases PASSED [ 59%]
tests/models/test_grammar.py::TestUnifiedGrammarChecker::test_check_aggregates PASSED [ 59%]
tests/models/test_grammar.py::TestUnifiedGrammarChecker::test_correct_returns_fixed PASSED [ 59%]
tests/models/test_grammar.py::TestUnifiedGrammarChecker::test_result_dataclass PASSED [ 59%]
tests/models/test_grammar.py::TestUnifiedGrammarChecker::test_disabled_modules_skipped PASSED [ 59%]
tests/models/test_morphotactic_mask.py::test_full_canonical_coverage PASSED [ 59%]
tests/models/test_morphotactic_mask.py::test_legal_chain_passes PASSED   [ 59%]
tests/models/test_morphotactic_mask.py::test_case_after_case_blocked PASSED [ 60%]
tests/models/test_morphotactic_mask.py::test_inflectional_before_derivational_allowed_via_state PASSED [ 60%]
tests/models/test_morphotactic_mask.py::test_pad_never_allowed PASSED    [ 60%]
tests/models/test_morphotactic_mask.py::test_sos_only_allowed_in_start PASSED [ 60%]
tests/models/test_morphotactic_mask.py::test_batch_independent_state PASSED [ 60%]
tests/models/test_morphotactic_mask.py::test_reset_between_words PASSED  [ 60%]
tests/models/test_morphotactic_mask.py::test_voice_to_deriv_allowed PASSED [ 60%]
tests/models/test_variational_dropout.py::test_variational_dropout_identity_when_p_zero PASSED [ 60%]
tests/models/test_variational_dropout.py::test_variational_dropout_identity_in_eval PASSED [ 60%]
tests/models/test_variational_dropout.py::test_variational_dropout_mask_locked_across_time PASSED [ 60%]
tests/models/test_variational_dropout.py::test_variational_dropout_scaling_preserves_mean PASSED [ 61%]
tests/models/test_variational_dropout.py::test_weight_dropout_drops_during_train_restores_in_eval PASSED [ 61%]
tests/models/test_variational_dropout.py::test_weight_dropout_zero_is_noop PASSED [ 61%]
tests/regression/test_golden.py::test_golden_root_present[gold_001] PASSED [ 61%]
tests/regression/test_golden.py::test_golden_root_present[gold_002] PASSED [ 61%]
tests/regression/test_golden.py::test_golden_root_present[gold_003] PASSED [ 61%]
tests/regression/test_golden.py::test_golden_root_present[gold_004] PASSED [ 61%]
tests/regression/test_golden.py::test_golden_root_present[gold_005] PASSED [ 61%]
tests/regression/test_golden.py::test_golden_root_present[gold_006] PASSED [ 61%]
tests/regression/test_golden.py::test_golden_root_present[gold_007] PASSED [ 62%]
tests/regression/test_golden.py::test_golden_root_present[gold_008] PASSED [ 62%]
tests/regression/test_golden.py::test_golden_root_present[gold_009] PASSED [ 62%]
tests/regression/test_golden.py::test_golden_root_present[gold_010] PASSED [ 62%]
tests/regression/test_golden.py::test_golden_root_present[gold_011] PASSED [ 62%]
tests/regression/test_golden.py::test_golden_root_present[gold_012] PASSED [ 62%]
tests/regression/test_golden.py::test_golden_root_present[gold_013] PASSED [ 62%]
tests/regression/test_golden.py::test_golden_root_present[gold_014] PASSED [ 62%]
tests/regression/test_golden.py::test_golden_root_present[gold_015] PASSED [ 62%]
tests/regression/test_golden.py::test_golden_root_present[gold_016] PASSED [ 63%]
